match_id,team1,team2,venue,toss_winner,toss_decision,team1_score,team2_score,team1_wickets,team2_wickets,overs,match_type,team1_ranking,team2_ranking,team1_form,team2_form,winner
135,South Africa,Australia,London,Australia,bat,135,145,7,3,20,T20,2,6,4,2,Australia
136,Australia,England,Dubai,Australia,bat,271,202,4,9,50,ODI,1,1,0,3,Australia
137,Afghanistan,Oman,Muscat,Oman,bat,240,267,9,5,50,ODI,3,8,0,2,Oman
138,Australia,South Africa,Chennai,South Africa,field,185,159,6,6,20,T20,2,7,2,5,Australia
139,Australia,South Africa,Chennai,South Africa,bat,279,213,5,6,50,ODI,8,4,2,4,Australia
140,New Zealand,Oman,Muscat,Oman,field,238,265,4,6,50,ODI,6,1,5,1,Oman
141,England,Afghanistan,Delhi,Afghanistan,field,259,220,10,10,50,ODI,2,5,2,3,England
142,India,New Zealand,Dubai,New Zealand,field,200,336,7,9,50,ODI,6,7,1,4,New Zealand
143,Australia,New Zealand,London,Australia,field,196,136,6,10,20,T20,6,4,5,2,Australia
144,New Zealand,England,London,England,bat,273,227,6,8,50,ODI,6,2,5,3,New Zealand
145,England,Oman,London,Oman,bat,149,143,3,8,20,T20,7,5,5,2,England
146,South Africa,Afghanistan,Muscat,Afghanistan,field,129,128,8,7,20,T20,4,3,5,4,South Africa
147,Oman,Australia,Mumbai,Australia,field,229,225,8,3,50,ODI,9,2,2,3,Oman
148,Australia,South Africa,Muscat,South Africa,field,142,197,4,10,20,T20,8,10,1,0,South Africa
149,England,Afghanistan,Auckland,England,field,325,250,4,3,50,ODI,4,2,2,3,England
150,South Africa,New Zealand,Mumbai,New Zealand,field,234,325,6,9,50,ODI,2,4,0,1,New Zealand
151,New Zealand,Oman,Cape Town,Oman,bat,312,314,6,9,50,ODI,9,4,3,5,Oman
152,Oman,India,London,Oman,bat,344,293,5,3,50,ODI,5,5,1,5,Oman
153,New Zealand,Afghanistan,Sydney,Afghanistan,bat,290,289,6,7,50,ODI,10,8,0,0,New Zealand
154,New Zealand,Afghanistan,Cape Town,New Zealand,bat,180,188,5,8,20,T20,7,9,4,5,Afghanistan
155,New Zealand,India,Delhi,New Zealand,bat,166,143,7,6,20,T20,3,10,4,1,New Zealand
156,England,Oman,Dubai,England,bat,228,317,6,6,50,ODI,10,3,0,2,Oman
157,South Africa,New Zealand,Delhi,South Africa,bat,145,178,9,5,20,T20,8,4,3,0,New Zealand
158,Australia,England,Chennai,Australia,field,229,202,8,6,50,ODI,8,6,4,4,Australia
159,New Zealand,Australia,Cape Town,Australia,field,182,179,9,6,20,T20,1,2,2,3,New Zealand
160,New Zealand,India,Muscat,India,field,171,174,9,8,20,T20,10,3,0,2,India
161,England,Oman,Auckland,England,field,230,306,4,3,50,ODI,5,7,4,2,Oman
162,Oman,Afghanistan,Auckland,Afghanistan,field,128,143,5,10,20,T20,2,5,1,1,Afghanistan
163,Oman,Afghanistan,Auckland,Oman,bat,290,303,7,6,50,ODI,10,4,3,0,Afghanistan
164,Australia,India,Dubai,India,field,177,183,9,6,20,T20,7,2,1,0,India
165,England,Oman,Mumbai,Oman,bat,263,216,4,8,50,ODI,6,4,3,3,England
166,Oman,India,Chennai,Oman,field,220,243,5,6,50,ODI,8,2,1,1,India
167,Australia,Oman,Dubai,Australia,field,209,200,8,10,50,ODI,2,10,2,3,Australia
168,South Africa,England,Cape Town,South Africa,bat,240,345,7,9,50,ODI,5,6,2,4,England
169,Afghanistan,India,Cape Town,Afghanistan,bat,336,200,6,4,50,ODI,2,5,0,4,Afghanistan
170,England,Afghanistan,Chennai,Afghanistan,bat,302,207,4,3,50,ODI,1,7,3,5,England
171,New Zealand,Afghanistan,Muscat,New Zealand,bat,299,302,9,4,50,ODI,10,8,0,0,Afghanistan
172,Oman,New Zealand,Auckland,Oman,bat,172,153,5,8,20,T20,6,4,1,4,Oman
173,New Zealand,South Africa,Cape Town,South Africa,bat,265,206,10,4,50,ODI,5,3,1,2,New Zealand
174,New Zealand,Australia,London,Australia,field,202,257,4,10,50,ODI,9,6,4,2,Australia
175,England,India,Delhi,England,bat,148,148,3,6,20,T20,3,4,2,2,India
176,New Zealand,India,Cape Town,New Zealand,bat,129,176,10,6,20,T20,4,10,5,4,India
177,South Africa,New Zealand,Auckland,South Africa,field,229,306,3,8,50,ODI,4,1,1,3,New Zealand
178,Afghanistan,South Africa,Dubai,South Africa,field,139,181,3,5,20,T20,3,2,0,3,South Africa
179,New Zealand,Afghanistan,Dubai,New Zealand,bat,130,123,10,3,20,T20,9,3,1,1,New Zealand
180,Afghanistan,New Zealand,Chennai,New Zealand,field,298,280,8,3,50,ODI,2,4,3,2,Afghanistan
181,South Africa,Australia,London,South Africa,bat,299,279,9,3,50,ODI,9,3,2,3,South Africa
182,New Zealand,South Africa,Cape Town,South Africa,field,131,124,5,7,20,T20,3,5,2,4,New Zealand
183,Oman,England,Chennai,Oman,field,233,290,10,3,50,ODI,10,1,4,1,England
184,Oman,South Africa,Auckland,South Africa,field,266,311,5,6,50,ODI,7,10,2,3,South Africa
185,India,New Zealand,Mumbai,India,field,225,304,6,5,50,ODI,3,10,4,4,New Zealand
186,South Africa,Australia,Cape Town,Australia,bat,153,122,7,9,20,T20,5,4,5,3,South Africa
187,England,India,Mumbai,India,field,328,307,5,6,50,ODI,5,2,3,5,England
188,Australia,India,London,Australia,field,153,190,10,4,20,T20,1,2,2,4,India
189,England,Oman,Chennai,England,bat,237,211,10,5,50,ODI,3,8,2,0,England
190,Afghanistan,Australia,Muscat,Afghanistan,bat,184,172,7,3,20,T20,3,9,3,5,Afghanistan
191,England,South Africa,Cape Town,England,field,187,157,4,6,20,T20,6,2,3,1,England
192,England,India,Delhi,England,bat,201,217,3,4,50,ODI,6,5,0,5,India
193,Australia,Oman,Dubai,Oman,bat,153,156,3,10,20,T20,1,7,4,2,Oman
194,South Africa,Australia,Chennai,Australia,bat,180,129,10,7,20,T20,3,9,0,0,South Africa
195,England,New Zealand,Auckland,New Zealand,bat,222,342,8,6,50,ODI,1,9,5,3,New Zealand
196,New Zealand,South Africa,Delhi,South Africa,bat,171,130,10,6,20,T20,6,8,1,1,New Zealand
197,England,New Zealand,Muscat,England,bat,187,165,4,6,20,T20,4,8,4,5,England
198,India,Australia,Auckland,India,bat,181,171,6,7,20,T20,3,2,0,3,India
199,New Zealand,Afghanistan,London,New Zealand,bat,231,207,10,5,50,ODI,6,2,2,1,New Zealand
200,India,New Zealand,Mumbai,New Zealand,bat,160,177,6,9,20,T20,8,5,3,0,New Zealand
201,Oman,New Zealand,Cape Town,Oman,field,129,166,8,9,20,T20,9,10,4,1,New Zealand
202,England,India,Auckland,India,bat,172,195,9,7,20,T20,7,5,5,0,India
203,South Africa,England,Muscat,South Africa,bat,301,290,3,7,50,ODI,7,5,2,1,South Africa
204,South Africa,New Zealand,Auckland,New Zealand,bat,158,189,4,9,20,T20,2,3,3,5,New Zealand
205,South Africa,India,Delhi,India,bat,130,182,7,8,20,T20,9,9,2,2,India
206,India,Australia,Cape Town,Australia,field,200,176,9,5,20,T20,5,3,1,2,India
207,South Africa,Oman,Chennai,Oman,bat,158,131,7,9,20,T20,2,8,5,4,South Africa
208,England,Afghanistan,Delhi,Afghanistan,field,120,142,10,3,20,T20,9,7,1,4,Afghanistan
209,England,Oman,Delhi,England,field,154,169,6,3,20,T20,5,7,3,1,Oman
210,South Africa,England,Dubai,South Africa,bat,166,121,6,4,20,T20,1,7,5,5,South Africa
211,Oman,South Africa,Sydney,South Africa,bat,235,210,8,10,50,ODI,7,7,4,0,Oman
212,Oman,New Zealand,Auckland,Oman,bat,252,349,6,4,50,ODI,4,5,0,1,New Zealand
213,Afghanistan,Australia,Sydney,Afghanistan,bat,205,332,5,4,50,ODI,10,1,5,4,Australia
214,New Zealand,Afghanistan,Dubai,New Zealand,bat,288,315,5,3,50,ODI,7,9,4,4,Afghanistan
215,Oman,New Zealand,Chennai,Oman,field,169,132,3,4,20,T20,9,2,0,5,Oman
216,Afghanistan,New Zealand,Muscat,New Zealand,bat,273,217,3,6,50,ODI,7,6,4,5,Afghanistan
217,India,Australia,Chennai,Australia,bat,277,201,7,4,50,ODI,7,5,0,4,India
218,New Zealand,Australia,Mumbai,New Zealand,bat,124,123,9,8,20,T20,9,1,0,2,New Zealand
219,Oman,South Africa,Mumbai,Oman,bat,157,122,6,9,20,T20,8,2,2,0,Oman
220,India,South Africa,Muscat,South Africa,bat,181,177,5,3,20,T20,6,6,3,4,India
221,Afghanistan,South Africa,Delhi,Afghanistan,bat,237,265,8,6,50,ODI,2,7,3,2,South Africa
222,Oman,Australia,Chennai,Australia,bat,124,188,8,4,20,T20,7,9,3,2,Australia
223,Australia,Oman,London,Australia,field,281,216,8,4,50,ODI,4,4,0,5,Australia
224,England,Australia,Mumbai,England,field,182,157,4,7,20,T20,1,2,5,2,England
225,India,Afghanistan,London,Afghanistan,field,142,140,3,4,20,T20,2,3,0,0,India
226,England,Afghanistan,Delhi,England,bat,238,344,10,4,50,ODI,2,3,0,5,Afghanistan
227,New Zealand,Oman,Mumbai,Oman,field,225,248,8,10,50,ODI,8,9,0,5,Oman
228,England,India,Auckland,England,field,168,194,9,7,20,T20,10,5,0,1,India
229,England,Australia,Delhi,Australia,field,194,191,8,4,20,T20,2,7,2,2,England
230,South Africa,New Zealand,Delhi,New Zealand,bat,198,131,6,6,20,T20,4,1,3,3,South Africa
231,Australia,Afghanistan,Dubai,Australia,bat,125,182,8,7,20,T20,9,4,3,1,Afghanistan
232,South Africa,New Zealand,Delhi,South Africa,field,254,258,8,10,50,ODI,1,3,1,0,New Zealand
233,India,Afghanistan,Cape Town,India,bat,184,137,6,7,20,T20,3,4,0,2,India
234,South Africa,New Zealand,Cape Town,South Africa,field,175,123,10,5,20,T20,2,10,3,4,South Africa
235,South Africa,Australia,London,Australia,bat,189,144,10,5,20,T20,4,1,1,3,South Africa
236,Afghanistan,New Zealand,Delhi,New Zealand,field,283,297,7,4,50,ODI,9,4,3,5,New Zealand
237,India,Australia,Muscat,Australia,field,346,271,10,9,50,ODI,3,3,1,0,India
238,Australia,England,London,Australia,field,122,159,4,6,20,T20,5,9,3,3,England
239,Oman,England,London,Oman,field,309,263,7,10,50,ODI,3,2,3,2,Oman
240,Oman,India,Muscat,Oman,bat,347,345,6,5,50,ODI,3,7,1,3,Oman
241,Afghanistan,South Africa,Mumbai,South Africa,field,296,277,5,6,50,ODI,4,10,2,3,Afghanistan
242,Australia,India,Mumbai,Australia,field,254,209,7,3,50,ODI,5,7,5,5,Australia
243,England,New Zealand,Delhi,New Zealand,field,163,133,7,9,20,T20,8,8,2,5,England
244,South Africa,Oman,London,Oman,bat,331,322,5,4,50,ODI,7,4,2,0,South Africa
245,India,England,Muscat,England,bat,150,129,8,8,20,T20,3,1,1,1,India
246,New Zealand,Australia,Chennai,New Zealand,field,127,192,10,6,20,T20,2,10,0,4,Australia
247,New Zealand,Oman,Muscat,Oman,field,135,174,4,3,20,T20,1,3,4,4,Oman
248,Afghanistan,England,Sydney,England,field,168,135,8,9,20,T20,5,8,2,0,Afghanistan
249,South Africa,Oman,Dubai,South Africa,bat,235,245,3,9,50,ODI,1,3,3,1,Oman
250,Australia,India,Muscat,India,bat,197,145,6,10,20,T20,7,8,5,3,Australia
251,India,Oman,Dubai,Oman,field,284,315,3,9,50,ODI,6,6,3,3,Oman
252,Australia,England,Cape Town,Australia,bat,336,270,8,4,50,ODI,5,8,5,4,Australia
253,New Zealand,South Africa,Delhi,New Zealand,field,168,186,6,5,20,T20,10,6,2,1,South Africa
254,South Africa,England,London,South Africa,bat,350,343,4,5,50,ODI,4,10,3,3,South Africa
255,South Africa,Afghanistan,Sydney,Afghanistan,bat,255,307,8,7,50,ODI,7,4,5,1,Afghanistan
256,Oman,New Zealand,Auckland,New Zealand,field,193,142,9,8,20,T20,8,5,1,4,Oman
257,Afghanistan,Oman,Cape Town,Afghanistan,field,278,325,10,10,50,ODI,10,3,1,5,Oman
258,New Zealand,England,Sydney,England,bat,207,204,4,7,50,ODI,9,9,2,1,New Zealand
259,Oman,Afghanistan,Delhi,Afghanistan,bat,125,141,3,5,20,T20,1,2,2,5,Afghanistan
260,New Zealand,Australia,Delhi,New Zealand,bat,199,190,4,3,20,T20,10,1,2,2,New Zealand
261,Oman,South Africa,Sydney,South Africa,bat,225,328,3,5,50,ODI,1,10,2,0,South Africa
262,India,Oman,Chennai,Oman,field,164,124,6,8,20,T20,6,7,2,2,India
263,Oman,South Africa,London,Oman,field,214,266,6,5,50,ODI,7,3,5,0,South Africa
264,Australia,Oman,Sydney,Australia,field,124,190,3,10,20,T20,5,8,0,4,Oman
265,Oman,Afghanistan,Chennai,Oman,field,180,150,8,10,20,T20,9,10,1,1,Oman
266,South Africa,Oman,Auckland,South Africa,field,206,312,3,8,50,ODI,3,9,4,1,Oman
267,New Zealand,England,Delhi,England,field,345,303,6,8,50,ODI,5,1,2,5,New Zealand
268,England,New Zealand,London,England,field,148,166,6,7,20,T20,1,1,0,5,New Zealand
269,India,England,Dubai,England,bat,124,200,10,3,20,T20,7,9,0,2,England
270,Australia,South Africa,Cape Town,South Africa,bat,233,250,9,3,50,ODI,7,4,1,5,South Africa
271,Australia,New Zealand,Mumbai,New Zealand,field,204,334,9,6,50,ODI,3,5,1,5,New Zealand
272,New Zealand,England,Cape Town,England,bat,166,153,6,8,20,T20,2,9,1,3,New Zealand
273,New Zealand,Oman,Muscat,New Zealand,field,195,187,8,4,20,T20,8,3,2,4,New Zealand
274,New Zealand,Afghanistan,Mumbai,Afghanistan,bat,145,172,7,7,20,T20,4,3,0,4,Afghanistan
275,South Africa,India,Chennai,South Africa,bat,143,159,8,5,20,T20,8,10,2,5,India
276,New Zealand,South Africa,Muscat,New Zealand,field,252,324,4,4,50,ODI,5,4,5,4,South Africa
277,Australia,New Zealand,Dubai,New Zealand,field,166,176,9,4,20,T20,3,6,1,4,New Zealand
278,Australia,New Zealand,Chennai,Australia,field,220,209,7,4,50,ODI,5,1,2,1,Australia
279,India,Australia,Dubai,India,bat,254,304,3,10,50,ODI,6,9,1,3,Australia
280,India,South Africa,Dubai,India,field,336,222,10,4,50,ODI,4,4,2,0,India
281,England,New Zealand,Mumbai,New Zealand,field,275,249,6,4,50,ODI,5,3,3,2,England
282,New Zealand,England,Chennai,England,field,163,175,6,6,20,T20,9,2,2,2,England
283,New Zealand,Oman,London,New Zealand,field,198,144,10,6,20,T20,3,6,2,0,New Zealand
284,New Zealand,India,Muscat,New Zealand,field,226,310,10,6,50,ODI,3,9,4,5,India
285,Australia,India,Mumbai,Australia,field,205,328,7,4,50,ODI,1,4,5,1,India
